timestamp,url,title
2026-04-14 06:39:42.435872,https://claude.ai/chat/42afc8f3-1fe8-41e1-9a3b-42b43e3dfbd9,Project code in notebook format - Claude
2026-04-14 06:36:28.455563,https://claude.ai/new,Claude
2026-04-14 06:36:27.643094,https://claude.ai/,Claude
2026-04-14 06:21:54.821206,https://chatgpt.com/c/69dddce0-adfc-83e8-a7f3-e6ac2828e2bb,Extract Browsing History RAM Logs
2026-04-14 06:13:46.220954,https://drive.google.com/drive/folders/1OE3b4iQonsO4ax_RH7zrheLlf14BI5Du,DS-S-WD-T-B105 - Final Project - Google Drive
2026-04-14 06:13:45.065527,https://drive.google.com/drive/folders/1OE3b4iQonsO4ax_RH7zrheLlf14BI5Du?usp=drive_link,DS-S-WD-T-B105 - Final Project - Google Drive
2026-04-14 06:13:41.081304,https://v2.zenclass.in/projects,GUVI
2026-04-14 06:13:36.589011,https://v2.zenclass.in/dashboard,GUVI
2026-04-14 06:13:32.113054,https://classify.zenclass.in/recordings,Classify
2026-04-14 06:13:31.341858,https://classify.zenclass.in/recordings?session=597b0cd4-62f0-48d7-8e9b-e5e41380252d,Classify
2026-04-14 06:13:28.726206,https://classify.zenclass.in/meet-video?session=597b0cd4-62f0-48d7-8e9b-e5e41380252d&index=0,Classify
2026-04-14 05:42:53.643366,https://www.hotstar.com/in/sports/cricket/archer-gets-abhisheks-prized-scalp/1271627510/watch?utm_campaign=Cricket_PREVIEW_TATA_IPL_2026_MATCH_22_CSK_vs_KKR&utm_medium=Onebox&utm_source=Google,"JioHotstar - Watch TV Shows, Movies, Specials, Live Cricket & Football"
2026-04-14 05:19:12.669044,https://www.hotstar.com/in/sports/cricket/preview-csk-vs-kkr/1271618860/watch?utm_campaign=Cricket_PREVIEW_TATA_IPL_2026_MATCH_22_CSK_vs_KKR&utm_medium=Onebox&utm_source=Google,Preview: CSK vs KKR
2026-04-14 05:19:11.874991,https://www.hotstar.com/in/sports/cricket/preview-csk-vs-kkr/1271618860/watch,"JioHotstar - Watch TV Shows, Movies, Specials, Live Cricket & Football"
2026-04-14 05:19:11.867907,https://www.hotstar.com/in/home,"JioHotstar - Watch TV Shows, Movies, Specials, Live Cricket & Football"
2026-04-14 05:19:10.555631,https://www.hotstar.com/in/sports/cricket/preview-csk-vs-kkr/1271618860/watch?utm_source=Google&utm_medium=Onebox&utm_campaign=Cricket_PREVIEW_TATA_IPL_2026_MATCH_22_CSK_vs_KKR,"JioHotstar - Watch TV Shows, Movies, Specials, Live Cricket & Football"
2026-04-14 05:19:04.572568,https://www.google.com/search?q=ipl&oq=ipl&gs_lcrp=EgZjaHJvbWUqBwgAEAAYjwIyBwgAEAAYjwIyDQgBEC4YgwEYsQMYgAQyDAgCECMYJxiABBiKBTINCAMQABiDARixAxiABDINCAQQABiDARixAxiABDIQCAUQABiDARixAxiABBiKBTINCAYQABiDARixAxiABDIQCAcQABiDARixAxiABBiKBTIQCAgQABiDARixAxiABBiKBTINCAkQABiDARixAxiABNIBCDEyNDZqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8#sie=m;/g/11z3z4d4gv;5;/m/03b_lm1;cm;fp;1;;;;-1,ipl - Google Search
2026-04-14 05:18:36.582729,https://www.google.com/search?q=ipl&oq=ipl&gs_lcrp=EgZjaHJvbWUqBwgAEAAYjwIyBwgAEAAYjwIyDQgBEC4YgwEYsQMYgAQyDAgCECMYJxiABBiKBTINCAMQABiDARixAxiABDINCAQQABiDARixAxiABDIQCAUQABiDARixAxiABBiKBTINCAYQABiDARixAxiABDIQCAcQABiDARixAxiABBiKBTIQCAgQABiDARixAxiABBiKBTINCAkQABiDARixAxiABNIBCDEyNDZqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8#sie=m;/g/11z3z4d4gv;5;/m/03b_lm1;dt;fp;1;;;;-1,ipl - Google Search
2026-04-14 05:18:30.034620,https://www.google.com/search?q=ipl&oq=ipl&gs_lcrp=EgZjaHJvbWUqBwgAEAAYjwIyBwgAEAAYjwIyDQgBEC4YgwEYsQMYgAQyDAgCECMYJxiABBiKBTINCAMQABiDARixAxiABDINCAQQABiDARixAxiABDIQCAUQABiDARixAxiABBiKBTINCAYQABiDARixAxiABDIQCAcQABiDARixAxiABBiKBTIQCAgQABiDARixAxiABBiKBTINCAkQABiDARixAxiABNIBCDEyNDZqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8,ipl - Google Search
2026-04-14 05:02:09.855211,https://classify.zenclass.in/meet-video?session=597b0cd4-62f0-48d7-8e9b-e5e41380252d&index=0,Classify
2026-04-14 05:01:48.587820,https://classify.zenclass.in/recordings,Classify
2026-04-14 04:58:44.766620,https://www.youtube.com/watch?v=BtNHBOtEsA4,(3) ஜனநாயகன் Leaked Audience Shocked 😱 | Jana Nayagan Issue ❌ | #jananayagan #vijay - YouTube
