timestamp,url,title,domain,category,hour,day_of_week,date,is_weekend,day_num,time_of_day,time_diff,new_session,session_id,ram_used_mb,ram_available_mb,browser_ram_mb,cpu_percent
2026-04-09 13:30:39.513788,https://colab.research.google.com/drive/1f_ZexJjsA7su1pMTmqAVVljeZ0P_SoKR#scrollTo=ul0-m6qKyZxk,syntax_outliers.ipynb - Colab,colab.research.google.com,learning,13,Thursday,2026-04-09,False,3,afternoon,,True,1,10499.34,5500.66,1286.17,46.6
2026-04-09 13:31:36.423035,https://classify.zenclass.in/recordings,Classify,classify.zenclass.in,learning,13,Thursday,2026-04-09,False,3,afternoon,0 days 00:00:56.909247,False,1,10218.4,5781.6,1158.77,32.8
2026-04-09 14:12:14.444375,https://colab.research.google.com/drive/1X2SwFpTligPyk_AznBl3IVnoZ1ZRpHKM#scrollTo=pRNhmmNnlh-F,Untitled13.ipynb - Colab,colab.research.google.com,learning,14,Thursday,2026-04-09,False,3,afternoon,0 days 00:40:38.021340,True,2,10327.62,5672.38,1293.04,17.81
2026-04-09 14:12:36.982368,https://colab.research.google.com/drive/1X2SwFpTligPyk_AznBl3IVnoZ1ZRpHKM#scrollTo=0Biwacy34e1Y,Untitled13.ipynb - Colab,colab.research.google.com,learning,14,Thursday,2026-04-09,False,3,afternoon,0 days 00:00:22.537993,False,2,10295.1,5704.9,1348.94,42.64
2026-04-09 14:12:39.611852,https://colab.research.google.com/drive/1X2SwFpTligPyk_AznBl3IVnoZ1ZRpHKM#scrollTo=GQj24HcTloHO,Untitled13.ipynb - Colab,colab.research.google.com,learning,14,Thursday,2026-04-09,False,3,afternoon,0 days 00:00:02.629484,False,2,10295.1,5704.9,1348.94,42.64
2026-04-09 14:12:45.653408,https://colab.research.google.com/drive/1X2SwFpTligPyk_AznBl3IVnoZ1ZRpHKM#scrollTo=0Biwacy34e1Y,Untitled13.ipynb - Colab,colab.research.google.com,learning,14,Thursday,2026-04-09,False,3,afternoon,0 days 00:00:06.041556,False,2,10329.86,5670.14,1277.08,22.16
2026-04-09 14:12:55.702964,https://colab.research.google.com/drive/1X2SwFpTligPyk_AznBl3IVnoZ1ZRpHKM#scrollTo=GQj24HcTloHO,Untitled13.ipynb - Colab,colab.research.google.com,learning,14,Thursday,2026-04-09,False,3,afternoon,0 days 00:00:10.049556,False,2,10542.19,5457.81,1344.43,51.51
2026-04-09 14:13:01.677639,https://colab.research.google.com/drive/1X2SwFpTligPyk_AznBl3IVnoZ1ZRpHKM#scrollTo=DK4j75dzltgR,Untitled13.ipynb - Colab,colab.research.google.com,learning,14,Thursday,2026-04-09,False,3,afternoon,0 days 00:00:05.974675,False,2,10542.19,5457.81,1344.43,51.51
2026-04-09 14:13:03.809395,https://colab.research.google.com/drive/1X2SwFpTligPyk_AznBl3IVnoZ1ZRpHKM#scrollTo=0Biwacy34e1Y,Untitled13.ipynb - Colab,colab.research.google.com,learning,14,Thursday,2026-04-09,False,3,afternoon,0 days 00:00:02.131756,False,2,10542.19,5457.81,1344.43,51.51
2026-04-09 14:13:26.404288,https://colab.research.google.com/drive/1X2SwFpTligPyk_AznBl3IVnoZ1ZRpHKM#scrollTo=DK4j75dzltgR,Untitled13.ipynb - Colab,colab.research.google.com,learning,14,Thursday,2026-04-09,False,3,afternoon,0 days 00:00:22.594893,False,2,10066.04,5933.96,1476.47,54.63
2026-04-09 14:13:29.645069,https://colab.research.google.com/drive/1X2SwFpTligPyk_AznBl3IVnoZ1ZRpHKM#scrollTo=0Biwacy34e1Y,Untitled13.ipynb - Colab,colab.research.google.com,learning,14,Thursday,2026-04-09,False,3,afternoon,0 days 00:00:03.240781,False,2,10066.04,5933.96,1476.47,54.63
2026-04-09 14:14:04.997180,https://colab.research.google.com/drive/1X2SwFpTligPyk_AznBl3IVnoZ1ZRpHKM#scrollTo=GQj24HcTloHO,Untitled13.ipynb - Colab,colab.research.google.com,learning,14,Thursday,2026-04-09,False,3,afternoon,0 days 00:00:35.352111,False,2,10049.31,5950.69,1245.51,57.42
2026-04-09 14:14:32.944162,https://colab.research.google.com/drive/1X2SwFpTligPyk_AznBl3IVnoZ1ZRpHKM#scrollTo=0Biwacy34e1Y,Untitled13.ipynb - Colab,colab.research.google.com,learning,14,Thursday,2026-04-09,False,3,afternoon,0 days 00:00:27.946982,False,2,10594.36,5405.64,1296.9,49.99
2026-04-09 14:14:36.537384,https://colab.research.google.com/drive/1X2SwFpTligPyk_AznBl3IVnoZ1ZRpHKM#scrollTo=GQj24HcTloHO,Untitled13.ipynb - Colab,colab.research.google.com,learning,14,Thursday,2026-04-09,False,3,afternoon,0 days 00:00:03.593222,False,2,10327.28,5672.72,1294.31,23.43
2026-04-09 14:19:50.621785,https://colab.research.google.com/drive/1X2SwFpTligPyk_AznBl3IVnoZ1ZRpHKM#scrollTo=0Biwacy34e1Y,Untitled13.ipynb - Colab,colab.research.google.com,learning,14,Thursday,2026-04-09,False,3,afternoon,0 days 00:05:14.084401,False,2,10347.79,5652.21,1313.5,25.76
2026-04-09 14:19:53.219194,https://colab.research.google.com/drive/1X2SwFpTligPyk_AznBl3IVnoZ1ZRpHKM#scrollTo=GQj24HcTloHO,Untitled13.ipynb - Colab,colab.research.google.com,learning,14,Thursday,2026-04-09,False,3,afternoon,0 days 00:00:02.597409,False,2,10347.79,5652.21,1313.5,25.76
2026-04-09 14:20:12.352683,https://colab.research.google.com/drive/1X2SwFpTligPyk_AznBl3IVnoZ1ZRpHKM#scrollTo=CaFZTc5BnWpk,Untitled13.ipynb - Colab,colab.research.google.com,learning,14,Thursday,2026-04-09,False,3,afternoon,0 days 00:00:19.133489,False,2,10573.55,5426.45,1328.3,40.79
